epoch,ingredientes_acc,ingredientes_auc,ingredientes_loss,loss,peso_loss,peso_mae,val_ingredientes_acc,val_ingredientes_auc,val_ingredientes_loss,val_loss,val_peso_loss,val_peso_mae
19,0.9722477793693542,0.883815586566925,0.09471780806779861,0.10394810885190964,0.8944046497344971,0.897079348564148,0.9751630425453186,0.9136399030685425,0.08115658909082413,0.08976629376411438,0.8551040291786194,0.8558253645896912
20,0.972228467464447,0.8867799639701843,0.09435024857521057,0.10326685011386871,0.8958271145820618,0.8958775997161865,0.9751036167144775,0.9164581298828125,0.08038271218538284,0.08898738026618958,0.8548242449760437,0.8555440306663513
21,0.9724707007408142,0.888806939125061,0.09374279528856277,0.1024298146367073,0.892534077167511,0.8950972557067871,0.9751036763191223,0.9183530211448669,0.07960016280412674,0.08819212019443512,0.8539455533027649,0.8546640276908875
22,0.9725450873374939,0.893959641456604,0.09211278706789017,0.10107475519180298,0.8958530426025391,0.894296407699585,0.9751749634742737,0.9209126234054565,0.07884013652801514,0.08742096275091171,0.8530475497245789,0.8537642955780029
23,0.9726014137268066,0.8968645930290222,0.0913807824254036,0.1000150591135025,0.8922231197357178,0.8931531310081482,0.9752345681190491,0.9221169948577881,0.07826118916273117,0.08683254569768906,0.8524860143661499,0.8532006740570068
24,0.9726710915565491,0.8969050645828247,0.09122614562511444,0.09985972195863724,0.8947036266326904,0.8925532698631287,0.975311815738678,0.9242519736289978,0.07753872871398926,0.08611125499010086,0.8524097204208374,0.8531253933906555
25,0.9727781414985657,0.9015899300575256,0.08955023437738419,0.09861315041780472,0.8939799666404724,0.8920782804489136,0.9754070043563843,0.9263085126876831,0.07687341421842575,0.0854378417134285,0.8518114686012268,0.8525242805480957
26,0.9728556871414185,0.9057695865631104,0.08871009200811386,0.09728257358074188,0.8899022936820984,0.8913811445236206,0.9755020141601562,0.9277244210243225,0.07623699307441711,0.08479275554418564,0.8512532711029053,0.8519651889801025
27,0.9730488657951355,0.9084872603416443,0.08778304606676102,0.09656769782304764,0.8936752080917358,0.8907439112663269,0.9756031036376953,0.9292846918106079,0.07565080374479294,0.08419916033744812,0.8507843613624573,0.8514952659606934
28,0.9732478857040405,0.9095004200935364,0.08671829849481583,0.09581337124109268,0.8872285485267639,0.8901853561401367,0.975638747215271,0.9313626885414124,0.07502035796642303,0.0835648849606514,0.8504157662391663,0.851125955581665
29,0.9731453061103821,0.9116268157958984,0.08664879202842712,0.0952942743897438,0.8909108638763428,0.889719545841217,0.9758051633834839,0.9320827126502991,0.07453440874814987,0.08307825028896332,0.8503830432891846,0.8510927557945251
