ingredientes_acc,ingredientes_auc,ingredientes_loss,loss,peso_loss,peso_mae,val_ingredientes_acc,val_ingredientes_auc,val_ingredientes_loss,val_loss,val_peso_loss,val_peso_mae
0.5769568085670471,0.5289270281791687,0.675034761428833,0.6851151585578918,0.9744259119033813,0.9755357503890991,0.69249427318573,0.5477001667022705,0.6282124519348145,0.6376873254776001,0.9471460580825806,0.9478434324264526
0.7456068396568298,0.5614678263664246,0.58548903465271,0.5959360003471375,0.9848726391792297,0.9860551953315735,0.8794898390769958,0.5976222157478333,0.4440902769565582,0.45362982153892517,0.9604801535606384,0.9611825942993164
0.8761489987373352,0.5935390591621399,0.42651891708374023,0.43707549571990967,0.9918603301048279,0.9921349287033081,0.9570855498313904,0.6367620825767517,0.2369832545518875,0.24632230401039124,0.9296144843101501,0.9302833080291748
0.9415103197097778,0.6315906047821045,0.27414470911026,0.2844197154045105,0.9662764072418213,0.9681563377380371,0.9727734923362732,0.7046552300453186,0.14874687790870667,0.15760952234268188,0.8776130676269531,0.878281831741333
0.9626599550247192,0.6835643649101257,0.18704906105995178,0.19670942425727844,0.9377710223197937,0.9371275901794434,0.9732133746147156,0.7652323246002197,0.11736543476581573,0.12600162625312805,0.8551264405250549,0.855804443359375
0.9681767225265503,0.7265085577964783,0.14759400486946106,0.15701784193515778,0.9134149551391602,0.9154202938079834,0.9734809398651123,0.8101397156715393,0.10464029759168625,0.11320151388645172,0.8482816219329834,0.8489769101142883
0.9698042273521423,0.7581291198730469,0.13024955987930298,0.13915225863456726,0.905484139919281,0.9034020900726318,0.9737008213996887,0.838125467300415,0.09923634678125381,0.10778194665908813,0.8468443155288696,0.8475457429885864
0.9702500700950623,0.7870187163352966,0.12051274627447128,0.12958073616027832,0.8960071206092834,0.8967875242233276,0.9739267826080322,0.8548866510391235,0.09590112417936325,0.10444250702857971,0.8466752767562866,0.8473764061927795
0.9705101251602173,0.804253339767456,0.11511769890785217,0.12419383972883224,0.8911945819854736,0.8927717208862305,0.974122941493988,0.865845263004303,0.0931788757443428,0.10171864926815033,0.8466624617576599,0.8473636507987976
0.9709057211875916,0.8194655179977417,0.11158664524555206,0.12011194229125977,0.892578661441803,0.8904017806053162,0.9743071794509888,0.8741958737373352,0.09122300148010254,0.09976065158843994,0.8466612100601196,0.8473624587059021
0.97108393907547,0.8292977213859558,0.10859515517950058,0.1175539419054985,0.8893312215805054,0.8890261054039001,0.9745450019836426,0.8820192217826843,0.08971762657165527,0.09825412184000015,0.8466612100601196,0.8473624587059021
0.9711195230484009,0.838592529296875,0.10627222806215286,0.11524004489183426,0.8858137726783752,0.8880353569984436,0.9746342301368713,0.8864696025848389,0.08831855654716492,0.09685420989990234,0.8466612100601196,0.8473624587059021
0.9715713262557983,0.8478080034255981,0.10448920726776123,0.11295561492443085,0.8898189663887024,0.8873702883720398,0.9748244881629944,0.8915616869926453,0.08711700886487961,0.0956520289182663,0.8466612100601196,0.8473624587059021
0.971559464931488,0.8534966111183167,0.1030421331524849,0.11179178208112717,0.885815441608429,0.88667893409729,0.974955141544342,0.8953649401664734,0.0860653817653656,0.09459791332483292,0.8466612100601196,0.8473624587059021
0.9716442823410034,0.8560531735420227,0.10186272114515305,0.11073364317417145,0.8845862746238708,0.886390745639801,0.9749967455863953,0.900032103061676,0.08506100624799728,0.09359125792980194,0.8466612100601196,0.8473624587059021
0.9717452526092529,0.8647504448890686,0.10018689185380936,0.10888028144836426,0.8832126259803772,0.8859351873397827,0.9751096963882446,0.9033108353614807,0.08425076305866241,0.0927814394235611,0.8466612100601196,0.8473624587059021
0.9718776345252991,0.8693310022354126,0.09916539490222931,0.10758937150239944,0.8858688473701477,0.8856723308563232,0.9751691818237305,0.9062841534614563,0.08327469974756241,0.09180153906345367,0.8466612100601196,0.8473624587059021
0.972145140171051,0.8747215867042542,0.09719512611627579,0.10624514520168304,0.8823025226593018,0.885500431060791,0.9752762317657471,0.9083663821220398,0.08255172520875931,0.09107594937086105,0.8466612100601196,0.8473624587059021
0.9723383784294128,0.8785955309867859,0.09600407630205154,0.10495103150606155,0.8858895897865295,0.8853422403335571,0.9753832221031189,0.9121270775794983,0.08169936388731003,0.09022173285484314,0.8466612100601196,0.8473624587059021
0.9722937941551208,0.8811907768249512,0.09547793120145798,0.10448965430259705,0.8829092383384705,0.8851701617240906,0.9754011034965515,0.9146633744239807,0.08088605850934982,0.0894051045179367,0.8466612100601196,0.8473624587059021
0.9723101258277893,0.8853941559791565,0.09459134936332703,0.10338113456964493,0.886735737323761,0.8849402666091919,0.97544264793396,0.9161511063575745,0.08019094914197922,0.08870530873537064,0.8466612100601196,0.8473624587059021
0.972479522228241,0.890593409538269,0.09327411651611328,0.10207085311412811,0.8852007389068604,0.8849459290504456,0.9754604697227478,0.9182770252227783,0.07948944717645645,0.08800141513347626,0.8466612100601196,0.8473624587059021
0.9725094437599182,0.8914164304733276,0.0925443172454834,0.10138561576604843,0.8874704837799072,0.8848341107368469,0.9755377769470215,0.920935869216919,0.07879381626844406,0.08730316907167435,0.8466612100601196,0.8473624587059021
